"season_name","census_date_start","census_date_end","census_days","surveyed_san_telmo","census_phocid_header_notes","census_phocid_header_id"
"2010/11","2010-11-10","2010-11-10",1,TRUE,"Imported from Excel files. Observers: KWP, RMB","167"
"2010/11","2010-11-18","2010-11-18",1,TRUE,"Imported from Excel files. Observers: KWP, RMB","168"
"2010/11","2010-11-24","2010-11-24",1,TRUE,"Imported from Excel files. Observers: KWP, RMB, NP","169"
"2010/11","2010-12-03","2010-12-04",2,FALSE,"Imported from Excel files. Observers: RMB, KWP, NP. Note that associated census records were assigned the census_date_end value because Excel files did not specify which counts were from which day","170"
"2010/11","2010-12-18","2010-12-18",1,FALSE,"Imported from Excel files. Observers: KWP, MLM, RMB, NP","171"
"2010/11","2010-12-28","2010-12-30",3,TRUE,"Imported from Excel files. Observers: KWP, RMB, NP. Note that associated census records were assigned the census_date_end value because Excel files did not specify which counts were from which day","172"
"2010/11","2011-01-07","2011-01-07",1,TRUE,"Imported from Excel files. Observers: RMB, KWP, NP","173"
"2010/11","2011-01-15","2011-01-15",1,TRUE,"Imported from Excel files. Observers: KWP, MLM, RMB, NP","174"
"2011/12","2011-11-23","2011-11-23",1,TRUE,"","1"
"2011/12","2011-12-01","2011-12-01",1,TRUE,"","2"
"2011/12","2011-12-09","2011-12-09",1,TRUE,"","3"
"2011/12","2011-12-17","2011-12-17",1,TRUE,"","4"
"2011/12","2011-12-23","2011-12-23",1,TRUE,"","5"
"2011/12","2011-12-30","2011-12-30",1,TRUE,"","6"
"2011/12","2012-01-06","2012-01-06",1,TRUE,"","7"
"2011/12","2012-01-13","2012-01-13",1,TRUE,"","8"
"2011/12","2012-01-20","2012-01-20",1,FALSE,"","9"
"2011/12","2012-01-27","2012-01-28",2,TRUE,"","10"
"2011/12","2012-02-04","2012-02-04",1,TRUE,"","11"
"2011/12","2012-02-10","2012-02-10",1,TRUE,"","12"
"2011/12","2012-02-17","2012-02-17",1,FALSE,"","13"
"2011/12","2012-02-24","2012-02-24",1,TRUE,"","14"
"2012/13","2012-11-16","2012-11-16",1,TRUE,"","15"
"2012/13","2012-11-23","2012-11-23",1,TRUE,"","16"
"2012/13","2012-11-30","2012-11-30",1,TRUE,"","17"
"2012/13","2012-12-07","2012-12-07",1,TRUE,"","18"
"2012/13","2012-12-14","2012-12-14",1,TRUE,"","19"
"2012/13","2012-12-20","2012-12-21",2,TRUE,"","20"
"2012/13","2012-12-28","2012-12-28",1,TRUE,"","21"
"2012/13","2013-01-04","2013-01-04",1,TRUE,"","22"
"2012/13","2013-01-11","2013-01-11",1,TRUE,"","23"
"2012/13","2013-01-18","2013-01-18",1,TRUE,"","24"
"2012/13","2013-01-25","2013-01-25",1,TRUE,"","25"
"2012/13","2013-02-01","2013-02-01",1,TRUE,"","26"
"2012/13","2013-02-08","2013-02-08",1,TRUE,"","27"
"2012/13","2013-02-15","2013-02-15",1,TRUE,"","28"
"2012/13","2013-02-22","2013-02-22",1,TRUE,"","29"
"2013/14","2013-11-08","2013-11-08",1,TRUE,"","30"
"2013/14","2013-11-15","2013-11-15",1,TRUE,"","31"
"2013/14","2013-11-22","2013-11-22",1,TRUE,"","32"
"2013/14","2013-11-28","2013-11-28",1,TRUE,"","33"
"2013/14","2013-12-15","2013-12-15",1,TRUE,"","34"
"2013/14","2013-12-19","2013-12-20",2,TRUE,"","35"
"2013/14","2013-12-27","2013-12-27",1,TRUE,"","36"
"2013/14","2014-01-03","2014-01-04",2,TRUE,"","37"
"2013/14","2014-01-10","2014-01-10",1,TRUE,"","38"
"2013/14","2014-01-17","2014-01-17",1,TRUE,"","39"
"2013/14","2014-01-24","2014-01-24",1,TRUE,"","40"
"2013/14","2014-01-31","2014-01-31",1,TRUE,"","41"
"2013/14","2014-02-07","2014-02-07",1,TRUE,"","42"
"2013/14","2014-02-14","2014-02-14",1,TRUE,"","43"
"2013/14","2014-02-22","2014-02-22",1,TRUE,"","44"
"2013/14","2014-03-01","2014-03-01",1,TRUE,"","45"
"2014/15","2014-11-08","2014-11-08",1,TRUE,"","46"
"2014/15","2014-11-14","2014-11-14",1,TRUE,"","47"
"2014/15","2014-11-21","2014-11-21",1,TRUE,"","48"
"2014/15","2014-11-29","2014-11-29",1,TRUE,"","49"
"2014/15","2014-12-05","2014-12-06",2,TRUE,"","50"
"2014/15","2014-12-13","2014-12-13",1,TRUE,"","51"
"2014/15","2014-12-19","2014-12-19",1,TRUE,"","52"
"2014/15","2014-12-26","2014-12-26",1,TRUE,"","53"
"2014/15","2015-01-02","2015-01-02",1,TRUE,"","54"
"2014/15","2015-01-09","2015-01-09",1,TRUE,"","55"
"2014/15","2015-01-16","2015-01-16",1,TRUE,"","56"
