count_id,event_id,location,species,species_common,total_count,ad_female_count,ad_male_count,ad_unk_count,juv_female_count,juv_male_count,juv_unk_count,pup_count,unk_female_count,unk_male_count,unk_unk_count
7-1-231413,7,Core census locations,Mirounga leonina,Southern elephant seal,168,37,0,0,7,47,31,4,,,42
7-1-231417,7,Core census locations,Hydrurga leptonyx,Leopard seal,11,10,0,0,0,1,0,0,,,
7-1-195932,7,Core census locations,Leptonychotes weddellii,Weddell seal,10,4,2,1,2,1,0,0,,,
7-2-344008,7,Punta San Telmo,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
7-2-231413,7,Punta San Telmo,Mirounga leonina,Southern elephant seal,20,0,0,0,2,4,14,0,,,0
7-2-231417,7,Punta San Telmo,Hydrurga leptonyx,Leopard seal,1,1,0,0,0,0,0,0,,,
7-2-195932,7,Punta San Telmo,Leptonychotes weddellii,Weddell seal,9,2,2,3,2,0,0,0,,,
8-1-344008,8,Core census locations,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
8-1-231413,8,Core census locations,Mirounga leonina,Southern elephant seal,232,174,2,0,12,35,4,0,,,5
8-1-231417,8,Core census locations,Hydrurga leptonyx,Leopard seal,12,11,0,1,0,0,0,0,,,
8-1-195932,8,Core census locations,Leptonychotes weddellii,Weddell seal,9,3,4,0,1,1,0,0,,,
8-2-344008,8,Punta San Telmo,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
8-2-231413,8,Punta San Telmo,Mirounga leonina,Southern elephant seal,13,7,0,0,0,1,0,2,,,3
8-2-231417,8,Punta San Telmo,Hydrurga leptonyx,Leopard seal,2,2,0,0,0,0,0,0,,,
8-2-195932,8,Punta San Telmo,Leptonychotes weddellii,Weddell seal,10,4,4,2,0,0,0,0,,,
9-1-344008,9,Core census locations,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
9-1-231413,9,Core census locations,Mirounga leonina,Southern elephant seal,277,230,3,0,3,19,22,0,,,0
9-1-231417,9,Core census locations,Hydrurga leptonyx,Leopard seal,15,13,0,1,0,0,1,0,,,
9-1-195932,9,Core census locations,Leptonychotes weddellii,Weddell seal,23,14,4,1,1,3,0,0,,,
10-1-344008,10,Core census locations,Lobodon carcinophaga,Crabeater seal,1,0,0,0,0,0,1,0,,,
10-1-231413,10,Core census locations,Mirounga leonina,Southern elephant seal,267,232,1,0,3,17,13,0,,,1
10-1-231417,10,Core census locations,Hydrurga leptonyx,Leopard seal,16,15,0,1,0,0,0,0,,,
10-1-195932,10,Core census locations,Leptonychotes weddellii,Weddell seal,13,3,5,4,0,0,1,0,,,
10-2-344008,10,Punta San Telmo,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
10-2-231413,10,Punta San Telmo,Mirounga leonina,Southern elephant seal,6,5,0,0,0,1,0,0,,,0
10-2-231417,10,Punta San Telmo,Hydrurga leptonyx,Leopard seal,4,4,0,0,0,0,0,0,,,
10-2-195932,10,Punta San Telmo,Leptonychotes weddellii,Weddell seal,7,2,2,0,2,0,1,0,,,
11-1-344008,11,Core census locations,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
11-1-231413,11,Core census locations,Mirounga leonina,Southern elephant seal,212,199,0,0,0,11,2,0,,,0
11-1-231417,11,Core census locations,Hydrurga leptonyx,Leopard seal,15,12,0,2,0,1,0,0,,,
11-1-195932,11,Core census locations,Leptonychotes weddellii,Weddell seal,11,3,3,1,1,3,0,0,,,
11-2-344008,11,Punta San Telmo,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
11-2-231413,11,Punta San Telmo,Mirounga leonina,Southern elephant seal,0,0,0,0,0,0,0,0,,,0
11-2-231417,11,Punta San Telmo,Hydrurga leptonyx,Leopard seal,6,5,0,1,0,0,0,0,,,
11-2-195932,11,Punta San Telmo,Leptonychotes weddellii,Weddell seal,4,1,3,0,0,0,0,0,,,
12-1-344008,12,Core census locations,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
12-1-231413,12,Core census locations,Mirounga leonina,Southern elephant seal,144,90,11,0,33,7,1,0,,,2
12-1-231417,12,Core census locations,Hydrurga leptonyx,Leopard seal,14,13,0,0,0,1,0,0,,,
12-1-195932,12,Core census locations,Leptonychotes weddellii,Weddell seal,13,4,7,1,0,1,0,0,,,
12-2-344008,12,Punta San Telmo,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
12-2-231413,12,Punta San Telmo,Mirounga leonina,Southern elephant seal,1,0,0,0,0,0,1,0,,,0
12-2-231417,12,Punta San Telmo,Hydrurga leptonyx,Leopard seal,4,4,0,0,0,0,0,0,,,
12-2-195932,12,Punta San Telmo,Leptonychotes weddellii,Weddell seal,3,2,0,0,0,0,1,0,,,
13-1-344008,13,Core census locations,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
13-1-231413,13,Core census locations,Mirounga leonina,Southern elephant seal,100,73,0,0,6,16,5,0,,,0
13-1-231417,13,Core census locations,Hydrurga leptonyx,Leopard seal,5,5,0,0,0,0,0,0,,,
13-1-195932,13,Core census locations,Leptonychotes weddellii,Weddell seal,13,3,6,1,1,1,1,0,,,
14-1-344008,14,Core census locations,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
14-1-231413,14,Core census locations,Mirounga leonina,Southern elephant seal,38,24,0,0,1,11,2,0,,,0
14-1-231417,14,Core census locations,Hydrurga leptonyx,Leopard seal,6,6,0,0,0,0,0,0,,,
14-1-195932,14,Core census locations,Leptonychotes weddellii,Weddell seal,11,4,5,0,0,1,1,0,,,
14-2-344008,14,Punta San Telmo,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
14-2-231413,14,Punta San Telmo,Mirounga leonina,Southern elephant seal,7,0,0,0,4,3,0,0,,,0
14-2-231417,14,Punta San Telmo,Hydrurga leptonyx,Leopard seal,1,1,0,0,0,0,0,0,,,
14-2-195932,14,Punta San Telmo,Leptonychotes weddellii,Weddell seal,1,1,0,0,0,0,0,0,,,
15-1-344008,15,Core census locations,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
15-1-231413,15,Core census locations,Mirounga leonina,Southern elephant seal,61,2,2,0,1,36,1,19,,,0
15-1-231417,15,Core census locations,Hydrurga leptonyx,Leopard seal,0,0,0,0,0,0,0,0,,,
15-1-195932,15,Core census locations,Leptonychotes weddellii,Weddell seal,11,3,4,0,0,1,0,3,,,
