"header_id","season_name","census_date_start","census_date_end","census_days","surveyed_san_telmo","header_notes","research_program","species","location","time_start","time_end","total_count","ad_female_count","ad_male_count","ad_unk_count","juv_female_count","juv_male_count","juv_unk_count","pup_live_count","pup_dead_count","unk_female_count","unk_male_count","unk_unk_count","census_notes","orig_record"
"1997/98-07","1997/98",1998-01-22,1998-01-22,1,FALSE,NA,"INACH","Leopard seal","Cape Shirreff core locations",NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,NA,TRUE
"1997/98-07","1997/98",1998-01-22,1998-01-22,1,FALSE,NA,"INACH","Weddell seal","Cape Shirreff core locations",NA,NA,21,8,8,0,1,4,0,0,0,0,0,0,NA,TRUE
"1997/98-08","1997/98",1998-01-29,1998-01-29,1,FALSE,NA,"INACH","Crabeater seal","Cape Shirreff core locations",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,TRUE
"1997/98-08","1997/98",1998-01-29,1998-01-29,1,FALSE,NA,"INACH","Elephant seal","Cape Shirreff core locations",NA,NA,329,28,0,0,37,6,0,5,0,0,0,253,"pups: 0 females, 1 males, NA unknowns; pups: 0 females, 1 males, NA unknowns; pups: 1 females, 1 males, NA unknowns; pups: 0 females, 1 males, NA unknowns",TRUE
"1997/98-08","1997/98",1998-01-29,1998-01-29,1,FALSE,NA,"INACH","Leopard seal","Cape Shirreff core locations",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,TRUE
"1997/98-08","1997/98",1998-01-29,1998-01-29,1,FALSE,NA,"INACH","Weddell seal","Cape Shirreff core locations",NA,NA,13,6,6,0,0,1,0,0,0,0,0,0,NA,TRUE
"1998/99-01","1998/99",1998-12-10,1998-12-10,1,FALSE,NA,"INACH","Crabeater seal","Cape Shirreff core locations",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,TRUE
"1998/99-01","1998/99",1998-12-10,1998-12-10,1,FALSE,NA,"INACH","Elephant seal","Cape Shirreff core locations",NA,NA,229,2,0,0,17,43,0,10,0,0,0,157,"pups: 2 females, 0 males, 3 unknowns; pups: 0 females, 0 males, 1 unknowns; pups: 2 females, 1 males, 1 unknowns",TRUE
"1998/99-01","1998/99",1998-12-10,1998-12-10,1,FALSE,NA,"INACH","Leopard seal","Cape Shirreff core locations",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,TRUE
"1998/99-01","1998/99",1998-12-10,1998-12-10,1,FALSE,NA,"INACH","Weddell seal","Cape Shirreff core locations",NA,NA,21,11,9,0,0,0,0,1,0,0,0,0,"pups: 1 females, 0 males, NA unknowns",TRUE
"1998/99-02","1998/99",1998-12-17,1998-12-17,1,FALSE,NA,"INACH","Crabeater seal","Cape Shirreff core locations",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,TRUE
"1998/99-02","1998/99",1998-12-17,1998-12-17,1,FALSE,NA,"INACH","Elephant seal","Cape Shirreff core locations",NA,NA,277,0,1,0,45,97,0,14,0,0,0,120,"pups: 0 females, 1 males, 0 unknowns; pups: 2 females, 2 males, 0 unknowns; pups: 3 females, 0 males, 0 unknowns; pups: 3 females, 3 males, 0 unknowns",TRUE
"1998/99-02","1998/99",1998-12-17,1998-12-17,1,FALSE,NA,"INACH","Leopard seal","Cape Shirreff core locations",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,TRUE
"1998/99-02","1998/99",1998-12-17,1998-12-17,1,FALSE,NA,"INACH","Weddell seal","Cape Shirreff core locations",NA,NA,19,10,9,0,0,0,0,0,0,0,0,0,NA,TRUE
"1998/99-03","1998/99",1998-12-24,1998-12-24,1,FALSE,NA,"INACH","Crabeater seal","Cape Shirreff core locations",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,TRUE
"1998/99-03","1998/99",1998-12-24,1998-12-24,1,FALSE,NA,"INACH","Elephant seal","Cape Shirreff core locations",NA,NA,277,1,9,0,15,9,0,6,0,0,0,237,"pups: 0 females, 0 males, 2 unknowns; pups: 0 females, 0 males, 4 unknowns",TRUE
"1998/99-03","1998/99",1998-12-24,1998-12-24,1,FALSE,NA,"INACH","Leopard seal","Cape Shirreff core locations",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,TRUE
"1998/99-03","1998/99",1998-12-24,1998-12-24,1,FALSE,NA,"INACH","Weddell seal","Cape Shirreff core locations",NA,NA,13,6,6,0,0,1,0,0,0,0,0,0,NA,TRUE
"1998/99-04","1998/99",1999-01-02,1999-01-02,1,FALSE,NA,"INACH","Crabeater seal","Cape Shirreff core locations",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,TRUE
"1998/99-04","1998/99",1999-01-02,1999-01-02,1,FALSE,NA,"INACH","Elephant seal","Cape Shirreff core locations",NA,NA,274,0,17,0,37,54,0,1,0,0,0,165,"pups: 1 females, 0 males, 0 unknowns",TRUE
"1998/99-04","1998/99",1999-01-02,1999-01-02,1,FALSE,NA,"INACH","Leopard seal","Cape Shirreff core locations",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,TRUE
"1998/99-04","1998/99",1999-01-02,1999-01-02,1,FALSE,NA,"INACH","Weddell seal","Cape Shirreff core locations",NA,NA,19,8,4,0,2,2,0,3,0,0,0,0,"pups: 0 females, 1 males, NA unknowns; pups: 1 females, 1 males, NA unknowns",TRUE
"1998/99-05","1998/99",1999-01-07,1999-01-07,1,FALSE,NA,"INACH","Crabeater seal","Cape Shirreff core locations",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,TRUE
"1998/99-05","1998/99",1999-01-07,1999-01-07,1,FALSE,NA,"INACH","Elephant seal","Cape Shirreff core locations",NA,NA,233,5,5,0,69,67,0,5,0,0,0,82,"pups: 1 females, 0 males, 0 unknowns; pups: 1 females, 1 males, 0 unknowns; pups: 2 females, 0 males, 0 unknowns",TRUE
"1998/99-05","1998/99",1999-01-07,1999-01-07,1,FALSE,NA,"INACH","Leopard seal","Cape Shirreff core locations",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,TRUE
"1998/99-05","1998/99",1999-01-07,1999-01-07,1,FALSE,NA,"INACH","Weddell seal","Cape Shirreff core locations",NA,NA,35,15,13,0,4,3,0,0,0,0,0,0,NA,TRUE
"1998/99-06","1998/99",1999-01-14,1999-01-14,1,FALSE,NA,"INACH","Crabeater seal","Cape Shirreff core locations",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,TRUE
"1998/99-06","1998/99",1999-01-14,1999-01-14,1,FALSE,NA,"INACH","Elephant seal","Cape Shirreff core locations",NA,NA,210,1,3,0,59,22,0,0,0,0,0,125,NA,TRUE
"1998/99-06","1998/99",1999-01-14,1999-01-14,1,FALSE,NA,"INACH","Leopard seal","Cape Shirreff core locations",NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,NA,TRUE
"1998/99-06","1998/99",1999-01-14,1999-01-14,1,FALSE,NA,"INACH","Weddell seal","Cape Shirreff core locations",NA,NA,15,11,4,0,0,0,0,0,0,0,0,0,NA,TRUE
"1998/99-07","1998/99",1999-01-21,1999-01-21,1,FALSE,NA,"INACH","Crabeater seal","Cape Shirreff core locations",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,TRUE
"1998/99-07","1998/99",1999-01-21,1999-01-21,1,FALSE,NA,"INACH","Elephant seal","Cape Shirreff core locations",NA,NA,244,146,0,0,45,26,0,3,0,0,0,24,"pups: 1 females, 0 males, 0 unknowns; pups: 1 females, 0 males, 1 unknowns",TRUE
"1998/99-07","1998/99",1999-01-21,1999-01-21,1,FALSE,NA,"INACH","Leopard seal","Cape Shirreff core locations",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,TRUE
