"season_name","census_date","time_start","time_end","location","species","ad_female_count","ad_male_count","ad_unk_count","juv_female_count","juv_male_count","juv_unk_count","pup_live_count","pup_dead_count","unk_female_count","unk_male_count","unk_unk_count","census_notes","orig_record","header_id","total_count","total_count_nodead"
"1997/98",1997-12-10,,,"Paulina, Playa","Elephant seal",0,0,,0,0,,0,,,,0,,,"1997/98-01",0,
"1997/98",1997-12-10,,,"Paulina, Playa","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-01",0,
"1997/98",1997-12-10,,,"Paulina, Playa","Weddell seal",0,1,,0,0,,0,,,,,,,"1997/98-01",1,
"1997/98",1997-12-10,,,"Pinochet de la Barra","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-01",0,
"1997/98",1997-12-10,,,"Pinochet de la Barra","Elephant seal",1,0,,0,0,,0,,,,2,,,"1997/98-01",3,
"1997/98",1997-12-10,,,"Pinochet de la Barra","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-01",0,
"1997/98",1997-12-10,,,"Pinochet de la Barra","Weddell seal",0,0,,0,0,,0,,,,,,,"1997/98-01",0,
"1997/98",1997-12-10,,,"Roquerio","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-01",0,
"1997/98",1997-12-10,,,"Roquerio","Elephant seal",0,0,,0,0,,0,,,,0,,,"1997/98-01",0,
"1997/98",1997-12-10,,,"Roquerio","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-01",0,
"1997/98",1997-12-10,,,"Roquerio","Weddell seal",1,0,,0,0,,0,,,,,,,"1997/98-01",1,
"1997/98",1997-12-10,,,"Yamana, Playa","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-01",0,
"1997/98",1997-12-10,,,"Yamana, Playa","Elephant seal",0,0,,0,0,,0,,,,0,,,"1997/98-01",0,
"1997/98",1997-12-10,,,"Yamana, Playa","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-01",0,
"1997/98",1997-12-10,,,"Yamana, Playa","Weddell seal",1,0,,0,0,,0,,,,,,,"1997/98-01",1,
"1997/98",1997-12-18,,,"Alcazar","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"Alcazar","Elephant seal",0,0,,0,0,,0,,,,0,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"Alcazar","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"Alcazar","Weddell seal",0,3,,0,1,,0,,,,,,,"1997/98-02",4,
"1997/98",1997-12-18,,,"Aranda","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"Aranda","Elephant seal",2,0,,1,1,,0,,,,4,,,"1997/98-02",8,
"1997/98",1997-12-18,,,"Aranda","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"Aranda","Weddell seal",1,1,,0,0,,0,,,,,,,"1997/98-02",2,
"1997/98",1997-12-18,,,"Ballena Norte","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"Ballena Norte","Elephant seal",0,2,,0,8,,0,,,,7,,,"1997/98-02",17,
"1997/98",1997-12-18,,,"Ballena Norte","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"Ballena Norte","Weddell seal",0,0,,0,0,,0,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"Chungungo","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"Chungungo","Elephant seal",0,0,,0,0,,0,,,,0,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"Chungungo","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"Chungungo","Weddell seal",1,0,,0,0,,0,,,,,,,"1997/98-02",1,
"1997/98",1997-12-18,,,"del Canal, Playa","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"del Canal, Playa","Elephant seal",0,0,,0,0,,0,,,,1,,,"1997/98-02",1,
"1997/98",1997-12-18,,,"del Canal, Playa","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"del Canal, Playa","Weddell seal",0,0,,0,0,,0,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"del Lobero, Playa","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"del Lobero, Playa","Elephant seal",0,0,,0,0,,0,,,,0,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"del Lobero, Playa","Weddell seal",0,0,,0,1,,0,,,,,,,"1997/98-02",1,
"1997/98",1997-12-18,,,"Larga","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"Larga","Elephant seal",0,0,,2,0,,1,,,,2,"pups: 0 females; 1 males; NA unknowns",,"1997/98-02",5,
"1997/98",1997-12-18,,,"Larga","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"Larga","Weddell seal",0,1,,0,0,,0,,,,,,,"1997/98-02",1,
"1997/98",1997-12-18,,,"Loberia","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"Maderas","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"Maderas","Elephant seal",0,0,,0,0,,1,,,,0,"pups: 1 females; 0 males; NA unknowns",,"1997/98-02",1,
"1997/98",1997-12-18,,,"Maderas","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"Maderas","Weddell seal",0,0,,0,0,,0,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"Marko","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"Marko","Elephant seal",0,0,,0,3,,1,,,,0,"pups: 1 females; 0 males; NA unknowns",,"1997/98-02",4,
"1997/98",1997-12-18,,,"Marko","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"Marko","Weddell seal",0,1,,0,0,,0,,,,,,,"1997/98-02",1,
"1997/98",1997-12-18,,,"Media Luna","Crabeater seal",0,1,,,,,,,,,,,,"1997/98-02",1,
"1997/98",1997-12-18,,,"Media Luna","Elephant seal",2,5,,17,172,,12,,,,16,"pups: 4 females; 8 males; NA unknowns",,"1997/98-02",224,
"1997/98",1997-12-18,,,"Media Luna","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"Media Luna","Weddell seal",0,0,,0,0,,0,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"Modulo","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"Modulo","Elephant seal",0,0,,1,3,,0,,,,1,,,"1997/98-02",5,
"1997/98",1997-12-18,,,"Modulo","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"Modulo","Weddell seal",1,0,,0,0,,0,,,,,,,"1997/98-02",1,
"1997/98",1997-12-18,,,"Nibaldo","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"Nibaldo","Elephant seal",0,0,,0,0,,0,,,,0,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"Nibaldo","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"Nibaldo","Weddell seal",0,0,,0,1,,0,,,,,,,"1997/98-02",1,
"1997/98",1997-12-18,,,"Papua","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"Papua","Elephant seal",1,0,,0,0,,0,,,,4,,,"1997/98-02",5,
"1997/98",1997-12-18,,,"Papua","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"Papua","Weddell seal",1,0,,0,0,,0,,,,,,,"1997/98-02",1,
"1997/98",1997-12-18,,,"Paulina, Playa","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"Paulina, Playa","Elephant seal",0,0,,0,0,,0,,,,1,,,"1997/98-02",1,
"1997/98",1997-12-18,,,"Paulina, Playa","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"Paulina, Playa","Weddell seal",0,1,,0,0,,0,,,,,,,"1997/98-02",1,
"1997/98",1997-12-18,,,"Roquerio","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"Roquerio","Elephant seal",0,0,,0,1,,0,,,,0,,,"1997/98-02",1,
"1997/98",1997-12-18,,,"Roquerio","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"Roquerio","Weddell seal",0,0,,0,0,,0,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"Schiappacasse, Playa","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"Schiappacasse, Playa","Elephant seal",0,0,,1,1,,0,,,,1,,,"1997/98-02",3,
"1997/98",1997-12-18,,,"Schiappacasse, Playa","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-02",0,
"1997/98",1997-12-18,,,"Schiappacasse, Playa","Weddell seal",0,0,,0,0,,0,,,,,,,"1997/98-02",0,
"1997/98",1997-12-24,,,"Aranda","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-03",0,
"1997/98",1997-12-24,,,"Aranda","Elephant seal",7,0,,0,0,,9,,,,3,"pups: 0 females; 9 males; NA unknowns",,"1997/98-03",19,
"1997/98",1997-12-24,,,"Aranda","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-03",0,
"1997/98",1997-12-24,,,"Aranda","Weddell seal",0,0,,0,0,,0,,,,,,,"1997/98-03",0,
"1997/98",1997-12-24,,,"Bahamonde","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-03",0,
"1997/98",1997-12-24,,,"Bahamonde","Elephant seal",0,1,,0,0,,0,,,,0,,,"1997/98-03",1,
"1997/98",1997-12-24,,,"Bahamonde","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-03",0,
"1997/98",1997-12-24,,,"Bahamonde","Weddell seal",0,0,,0,0,,0,,,,,,,"1997/98-03",0,
"1997/98",1997-12-24,,,"Ballena Norte","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-03",0,
"1997/98",1997-12-24,,,"Ballena Norte","Elephant seal",0,7,,0,0,,0,,,,2,,,"1997/98-03",9,
"1997/98",1997-12-24,,,"Ballena Norte","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-03",0,
"1997/98",1997-12-24,,,"Ballena Norte","Weddell seal",0,0,,0,1,,0,,,,,,,"1997/98-03",1,
"1997/98",1997-12-24,,,"Chungungo","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-03",0,
"1997/98",1997-12-24,,,"Chungungo","Elephant seal",4,0,,0,5,,0,,,,0,,,"1997/98-03",9,
"1997/98",1997-12-24,,,"Chungungo","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-03",0,
"1997/98",1997-12-24,,,"Chungungo","Weddell seal",0,0,,0,0,,0,,,,,,,"1997/98-03",0,
"1997/98",1997-12-24,,,"del Canal, Playa","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-03",0,
"1997/98",1997-12-24,,,"del Canal, Playa","Elephant seal",0,0,,0,0,,0,,,,0,,,"1997/98-03",0,
