header_id,season_name,species,location,time_start,time_end,total_count,ad_female_count,ad_male_count,ad_unk_count,juv_female_count,juv_male_count,juv_unk_count,pup_live_count,pup_dead_count,unk_female_count,unk_male_count,unk_unk_count,census_notes,orig_record
1/9/2000,2000/01,Crabeater seal,Cape Shirreff core locations,,,1,0,1,0,0,0,0,0,0,0,0,0,,TRUE
1/9/2000,2000/01,Elephant seal,Cape Shirreff core locations,,,374,11,3,0,36,21,0,2,0,0,0,301,"pups: 0 females, 0 males, 2 unknowns",TRUE
1/9/2000,2000/01,Leopard seal,Cape Shirreff core locations,,,2,0,0,2,0,0,0,0,0,0,0,0,,TRUE
1/9/2000,2000/01,Weddell seal,Cape Shirreff core locations,,,13,4,4,0,1,4,0,0,0,0,0,0,,TRUE
1/10/2000,2000/01,Crabeater seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
1/10/2000,2000/01,Elephant seal,Cape Shirreff core locations,,,306,1,0,0,113,14,0,0,0,0,0,178,,TRUE
1/10/2000,2000/01,Leopard seal,Cape Shirreff core locations,,,2,0,0,2,0,0,0,0,0,0,0,0,,TRUE
1/10/2000,2000/01,Weddell seal,Cape Shirreff core locations,,,9,3,1,0,4,1,0,0,0,0,0,0,,TRUE
1/11/2000,2000/01,Crabeater seal,Cape Shirreff core locations,,,1,1,0,0,0,0,0,0,0,0,0,0,,TRUE
1/11/2000,2000/01,Elephant seal,Cape Shirreff core locations,,,235,0,1,0,73,16,0,2,0,0,0,143,"pups: 1 females, 0 males, 0 unknowns; pups: 0 females, 1 males, 0 unknowns",TRUE
1/11/2000,2000/01,Leopard seal,Cape Shirreff core locations,,,1,1,0,0,0,0,0,0,0,0,0,0,,TRUE
1/11/2000,2000/01,Weddell seal,Cape Shirreff core locations,,,6,2,1,0,2,1,0,0,0,0,0,0,,TRUE
1/12/2000,2000/01,Crabeater seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
1/12/2000,2000/01,Elephant seal,Cape Shirreff core locations,,,196,2,2,0,62,7,0,0,0,0,0,123,,TRUE
1/12/2000,2000/01,Leopard seal,Cape Shirreff core locations,,,4,2,0,2,0,0,0,0,0,0,0,0,,TRUE
1/12/2000,2000/01,Weddell seal,Cape Shirreff core locations,,,19,8,4,0,4,1,0,2,0,0,0,0,"pups: 0 females, 1 males, NA unknowns; pups: 1 females, 0 males, NA unknowns",TRUE
1/13/2000,2000/01,Crabeater seal,Cape Shirreff core locations,,,1,1,0,0,0,0,0,0,0,0,0,0,,TRUE
1/13/2000,2000/01,Elephant seal,Cape Shirreff core locations,,,9,0,0,0,1,0,0,1,0,0,0,7,"pups: 0 females, 1 males, 0 unknowns",TRUE
1/13/2000,2000/01,Leopard seal,Cape Shirreff core locations,,,2,1,1,0,0,0,0,0,0,0,0,0,,TRUE
