"season_name","week","census_date","Location","species","ad_male_count","ad_female_count","ad_unk_count","juv_male_count","juv_female_count","juv_unk_count","pup_mle_count","pup_female_count","pup_unk_count","unk_unk_count","notes"
"1997/98",6,1998-01-16,"Loberia","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1997/98",6,1998-01-16,"Loberia","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1998/99",4,1999-01-02,"Loberia","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1998/99",4,1999-01-02,"Loberia","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2000/01",12,2001-02-09,"Loberia","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2000/01",12,2001-02-09,"Loberia","Leopard seal",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
"2000/01",13,2001-02-17,"Loberia","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2000/01",13,2001-02-17,"Loberia","Leopard seal",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2002/03",4,2002-11-23,"Papua","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2002/03",4,2002-11-23,"Papua","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2002/03",4,2002-11-23,"Papua","Elephant seal",0,0,NA,0,0,NA,0,0,0,1,NA
"2002/03",4,2002-11-23,"Papua","Elephant seal",0,0,NA,0,0,NA,0,0,1,0,NA
"2002/03",4,2002-11-23,"Papua","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2002/03",4,2002-11-23,"Papua","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2003/04",1,2003-12-28,"Loberia","Leopard seal",0,0,0,0,0,0,NA,NA,NA,NA,NA
"2003/04",1,2003-12-28,"Loberia","Leopard seal",0,0,0,0,0,0,NA,NA,NA,NA,NA
"2003/04",2,2004-01-06,"Loberia","Leopard seal",0,0,0,0,0,0,NA,NA,NA,NA,NA
"2003/04",2,2004-01-06,"Loberia","Leopard seal",0,0,0,0,0,0,NA,NA,NA,NA,NA
"2003/04",3,2004-01-11,"Loberia","Leopard seal",0,0,0,0,0,0,NA,NA,NA,NA,NA
"2003/04",3,2004-01-11,"Loberia","Leopard seal",0,0,0,0,0,0,NA,NA,NA,NA,NA
"2003/04",4,2004-01-18,"Loberia","Leopard seal",0,0,0,0,0,0,NA,NA,NA,NA,NA
"2003/04",4,2004-01-18,"Loberia","Leopard seal",0,0,0,0,0,0,NA,NA,NA,NA,NA
"2003/04",5,2004-01-26,"Loberia","Leopard seal",0,1,0,0,0,0,NA,NA,NA,NA,NA
"2003/04",5,2004-01-26,"Loberia","Leopard seal",0,0,1,0,0,0,NA,NA,NA,NA,NA
"2003/04",6,2004-02-02,"Loberia","Leopard seal",0,0,1,0,0,0,NA,NA,NA,NA,NA
"2003/04",6,2004-02-02,"Loberia","Leopard seal",0,0,0,0,0,0,NA,NA,NA,NA,NA
"2003/04",7,2004-02-08,"Loberia","Leopard seal",0,0,0,0,0,0,NA,NA,NA,NA,NA
"2003/04",7,2004-02-08,"Loberia","Leopard seal",0,0,0,0,0,0,NA,NA,NA,NA,NA
"2003/04",8,2004-02-16,"Loberia","Leopard seal",0,0,0,0,0,0,NA,NA,NA,NA,NA
"2003/04",8,2004-02-16,"Loberia","Leopard seal",0,0,0,0,0,0,NA,NA,NA,NA,NA
