"season_name","census_date_start","census_date_end","census_days","header_notes","header_id"
"1997/98",1997-12-10,1997-12-10,1,,"1997/98-01"
"1997/98",1997-12-18,1997-12-18,1,,"1997/98-02"
"1997/98",1997-12-24,1997-12-24,1,,"1997/98-03"
"1997/98",1998-01-01,1998-01-01,1,,"1997/98-04"
"1997/98",1998-01-08,1998-01-08,1,,"1997/98-05"
"1997/98",1998-01-16,1998-01-16,1,,"1997/98-06"
"1997/98",1998-01-22,1998-01-22,1,,"1997/98-07"
"1997/98",1998-01-29,1998-01-29,1,,"1997/98-08"
"1998/99",1998-12-10,1998-12-10,1,,"1998/99-01"
"1998/99",1998-12-17,1998-12-17,1,,"1998/99-02"
"1998/99",1998-12-24,1998-12-24,1,,"1998/99-03"
"1998/99",1999-01-02,1999-01-02,1,,"1998/99-04"
"1998/99",1999-01-07,1999-01-07,1,,"1998/99-05"
"1998/99",1999-01-14,1999-01-14,1,,"1998/99-06"
"1998/99",1999-01-21,1999-01-21,1,,"1998/99-07"
"1998/99",1999-01-28,1999-01-28,1,,"1998/99-08"
"1998/99",1999-02-04,1999-02-04,1,,"1998/99-09"
"1998/99",1999-02-11,1999-02-11,1,,"1998/99-10"
"1998/99",1999-02-18,1999-02-18,1,,"1998/99-11"
"1999/00",1999-12-06,1999-12-06,1,,"1999/00-01"
"1999/00",1999-12-13,1999-12-13,1,,"1999/00-02"
"1999/00",1999-12-20,1999-12-20,1,,"1999/00-03"
"1999/00",1999-12-27,1999-12-27,1,,"1999/00-04"
"1999/00",2000-01-03,2000-01-03,1,,"1999/00-05"
"1999/00",2000-01-10,2000-01-10,1,,"1999/00-06"
"1999/00",2000-01-18,2000-01-18,1,,"1999/00-07"
"1999/00",2000-01-24,2000-01-24,1,,"1999/00-08"
"1999/00",2000-01-31,2000-01-31,1,,"1999/00-09"
"1999/00",2000-02-07,2000-02-07,1,,"1999/00-10"
"1999/00",2000-02-14,2000-02-14,1,,"1999/00-11"
"2000/01",2000-11-24,2000-11-24,1,,"2000/01-01"
"2000/01",2000-12-01,2000-12-01,1,,"2000/01-02"
"2000/01",2000-12-08,2000-12-08,1,,"2000/01-03"
"2000/01",2000-12-15,2000-12-15,1,,"2000/01-04"
"2000/01",2000-12-22,2000-12-23,2,,"2000/01-05"
"2000/01",2000-12-29,2000-12-29,1,,"2000/01-06"
"2000/01",2001-01-05,2001-01-05,1,,"2000/01-07"
"2000/01",2001-01-12,2001-01-12,1,,"2000/01-08"
"2000/01",2001-01-19,2001-01-19,1,,"2000/01-09"
"2000/01",2001-01-26,2001-01-26,1,,"2000/01-10"
"2000/01",2001-02-03,2001-02-03,1,,"2000/01-11"
"2000/01",2001-02-09,2001-02-09,1,,"2000/01-12"
"2000/01",2001-02-17,2001-02-17,1,,"2000/01-13"
"2001/02",2001-12-08,2001-12-08,1,,"2001/02-01"
"2001/02",2001-12-15,2001-12-16,2,,"2001/02-02"
"2001/02",2001-12-22,2001-12-22,1,,"2001/02-03"
"2001/02",2001-12-28,2001-12-28,1,,"2001/02-04"
"2001/02",2002-01-05,2002-01-05,1,,"2001/02-05"
"2001/02",2002-01-12,2002-01-12,1,,"2001/02-06"
"2001/02",2002-01-19,2002-01-19,1,,"2001/02-07"
"2001/02",2002-01-26,2002-01-26,1,,"2001/02-08"
"2001/02",2002-02-02,2002-02-02,1,,"2001/02-09"
"2001/02",2002-02-09,2002-02-09,1,,"2001/02-10"
"2001/02",2002-02-16,2002-02-16,1,,"2001/02-11"
"2001/02",2002-02-23,2002-02-23,1,,"2001/02-12"
"2002/03",2002-11-07,2002-11-07,1,,"2002/03-01"
"2002/03",2002-11-10,2002-11-10,1,,"2002/03-02"
"2002/03",2002-11-16,2002-11-16,1,,"2002/03-03"
"2002/03",2002-11-23,2002-11-23,1,,"2002/03-04"
"2002/03",2002-11-30,2002-11-30,1,,"2002/03-05"
"2002/03",2002-12-07,2002-12-07,1,,"2002/03-06"
"2002/03",2002-12-14,2002-12-14,1,,"2002/03-07"
"2002/03",2002-12-21,2002-12-21,1,,"2002/03-08"
"2002/03",2002-12-28,2002-12-28,1,,"2002/03-09"
"2002/03",2003-01-04,2003-01-04,1,,"2002/03-10"
"2003/04",2003-12-28,2003-12-28,1,,"2003/04-01"
"2003/04",2004-01-06,2004-01-06,1,,"2003/04-02"
"2003/04",2004-01-11,2004-01-11,1,,"2003/04-03"
"2003/04",2004-01-18,2004-01-18,1,,"2003/04-04"
"2003/04",2004-01-26,2004-01-26,1,,"2003/04-05"
"2003/04",2004-02-02,2004-02-02,1,,"2003/04-06"
"2003/04",2004-02-08,2004-02-08,1,,"2003/04-07"
"2003/04",2004-02-16,2004-02-16,1,,"2003/04-08"
"2004/05",2004-12-19,2004-12-19,1,,"2004/05-01"
"2004/05",2004-12-26,2004-12-26,1,,"2004/05-02"
"2004/05",2005-01-02,2005-01-02,1,,"2004/05-03"
