"header_id","season_name","census_date","location","location_group","species","ad_male_count","ad_female_count","ad_unk_count","juv_male_count","juv_female_count","juv_unk_count","pup_live_count","unk_unk_count","notes","research_program"
"1997/98-01","1997/98",1997-12-10,"Paulina, Playa","Paulina, Playa","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1997-12-10,"Paulina, Playa","Paulina, Playa","Elephant seal",0,0,NA,0,0,NA,0,0,NA,"INACH"
"1997/98-01","1997/98",1997-12-10,"Paulina, Playa","Paulina, Playa","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1997-12-10,"Paulina, Playa","Paulina, Playa","Weddell seal",1,0,NA,0,0,NA,0,NA,NA,"INACH"
"1997/98-01","1997/98",1997-12-10,"Pinochet de la Barra","Pinochet de la Barra","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1997-12-10,"Pinochet de la Barra","Pinochet de la Barra","Elephant seal",0,1,NA,0,0,NA,0,2,NA,"INACH"
"1997/98-01","1997/98",1997-12-10,"Pinochet de la Barra","Pinochet de la Barra","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1997-12-10,"Pinochet de la Barra","Pinochet de la Barra","Weddell seal",0,0,NA,0,0,NA,0,NA,NA,"INACH"
"1997/98-01","1997/98",1997-12-10,"Roquerio","Roquerio","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1997-12-10,"Roquerio","Roquerio","Elephant seal",0,0,NA,0,0,NA,0,0,NA,"INACH"
"1997/98-01","1997/98",1997-12-10,"Roquerio","Roquerio","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1997-12-10,"Roquerio","Roquerio","Weddell seal",0,1,NA,0,0,NA,0,NA,NA,"INACH"
"1997/98-01","1997/98",1997-12-10,"Yamana, Playa","Yamana, Playa","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1997-12-10,"Yamana, Playa","Yamana, Playa","Elephant seal",0,0,NA,0,0,NA,0,0,NA,"INACH"
"1997/98-01","1997/98",1997-12-10,"Yamana, Playa","Yamana, Playa","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-01","1997/98",1997-12-10,"Yamana, Playa","Yamana, Playa","Weddell seal",0,1,NA,0,0,NA,0,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Alcazar","Alcazar","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Alcazar","Alcazar","Elephant seal",0,0,NA,0,0,NA,0,0,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Alcazar","Alcazar","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Alcazar","Alcazar","Weddell seal",3,0,NA,1,0,NA,0,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Aranda","Aranda","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Aranda","Aranda","Elephant seal",0,2,NA,1,1,NA,0,4,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Aranda","Aranda","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Aranda","Aranda","Weddell seal",1,1,NA,0,0,NA,0,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Ballena Norte","Ballena Norte","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Ballena Norte","Ballena Norte","Elephant seal",2,0,NA,8,0,NA,0,7,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Ballena Norte","Ballena Norte","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Ballena Norte","Ballena Norte","Weddell seal",0,0,NA,0,0,NA,0,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Chungungo","Chungungo","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Chungungo","Chungungo","Elephant seal",0,0,NA,0,0,NA,0,0,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Chungungo","Chungungo","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Chungungo","Chungungo","Weddell seal",0,1,NA,0,0,NA,0,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Larga","Larga","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Larga","Larga","Elephant seal",0,0,NA,0,2,NA,1,2,"pups: 0 females, 1 males, NA unknowns","INACH"
"1997/98-02","1997/98",1997-12-18,"Larga","Larga","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Larga","Larga","Weddell seal",1,0,NA,0,0,NA,0,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Loberia","Loberia","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Maderas","Maderas","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Maderas","Maderas","Elephant seal",0,0,NA,0,0,NA,1,0,"pups: 1 females, 0 males, NA unknowns","INACH"
"1997/98-02","1997/98",1997-12-18,"Maderas","Maderas","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"Maderas","Maderas","Weddell seal",0,0,NA,0,0,NA,0,NA,NA,"INACH"
