"season_name","week","census_date","Location","species","ad_male_count","ad_female_count","ad_unk_count","juv_male_count","juv_female_count","juv_unk_count","pup_mle_count","pup_female_count","pup_unk_count","unk_unk_count","notes"
"2003/04",5,2004-01-26,"Hucke-Gaete","Elephant seal",0,0,,0,0,,0,0,0,0,
"2003/04",5,2004-01-26,"Hucke-Gaete","Leopard seal",0,0,0,0,0,0,,,,,
"2003/04",5,2004-01-26,"Hucke-Gaete","Weddell seal",0,0,0,0,0,0,0,0,0,,
"2003/04",6,2004-02-02,"Escondida","Crabeater seal",0,0,,0,0,0,,,,,
"2003/04",6,2004-02-02,"Escondida","Elephant seal",0,0,,0,0,,0,0,0,0,
"2003/04",6,2004-02-02,"Escondida","Leopard seal",0,0,0,0,0,0,,,,,
"2003/04",6,2004-02-02,"Escondida","Weddell seal",0,0,0,0,0,0,0,0,0,,
"2003/04",6,2004-02-02,"Hucke-Gaete","Crabeater seal",0,0,,0,0,0,,,,,
"2003/04",6,2004-02-02,"Hucke-Gaete","Elephant seal",0,0,,0,0,,0,0,0,0,
"2003/04",6,2004-02-02,"Hucke-Gaete","Leopard seal",0,0,0,0,0,0,,,,,
"2003/04",6,2004-02-02,"Hucke-Gaete","Weddell seal",0,0,0,0,0,0,0,0,0,,
"2003/04",7,2004-02-08,"Escondida","Crabeater seal",0,0,,0,0,0,,,,,
"2003/04",7,2004-02-08,"Escondida","Elephant seal",0,0,,0,0,,0,0,0,0,
"2003/04",7,2004-02-08,"Escondida","Leopard seal",0,0,0,0,0,0,,,,,
"2003/04",7,2004-02-08,"Escondida","Weddell seal",0,0,0,0,0,0,0,0,0,,
"2003/04",7,2004-02-08,"Hucke-Gaete","Crabeater seal",0,0,,0,0,0,,,,,
"2003/04",7,2004-02-08,"Hucke-Gaete","Elephant seal",0,0,,0,0,,0,0,0,0,
"2003/04",7,2004-02-08,"Hucke-Gaete","Leopard seal",0,0,0,0,0,0,,,,,
"2003/04",7,2004-02-08,"Hucke-Gaete","Weddell seal",0,0,0,0,0,0,0,0,0,,
"2003/04",8,2004-02-16,"Escondida","Crabeater seal",0,0,,0,0,0,,,,,
"2003/04",8,2004-02-16,"Escondida","Elephant seal",0,0,,0,0,,0,0,0,0,
"2003/04",8,2004-02-16,"Escondida","Leopard seal",0,0,0,0,0,0,,,,,
"2003/04",8,2004-02-16,"Escondida","Weddell seal",0,0,0,0,0,0,0,0,0,,
"2003/04",8,2004-02-16,"Hucke-Gaete","Crabeater seal",0,0,,0,0,0,,,,,
"2003/04",8,2004-02-16,"Hucke-Gaete","Elephant seal",0,0,,0,0,,0,0,0,0,
"2003/04",8,2004-02-16,"Hucke-Gaete","Leopard seal",0,0,0,0,0,0,,,,,
"2003/04",8,2004-02-16,"Hucke-Gaete","Weddell seal",0,0,0,0,0,0,0,0,0,,
"2004/05",1,2004-12-19,"Hucke-Gaete","Leopard seal",0,0,1,0,0,0,,,,,
