occurrenceID	eventID	location	scientificName	vernacularName	scientificNameID	taxonRank	kingdom	basisOfRecord	identificationReferences	lifeStage	sex	individualCount	occurrenceStatus	dateIdentified
1-2-344008-2-1	1-2	Punta San Telmo	Lobodon carcinophaga	Crabeater seal	urn:lsid:marinespecies.org:taxname:231416	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	female	0	absent	2011-11-23
1-2-344008-2-2	1-2	Punta San Telmo	Lobodon carcinophaga	Crabeater seal	urn:lsid:marinespecies.org:taxname:231416	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	male	0	absent	2011-11-23
1-2-344008-2-3	1-2	Punta San Telmo	Lobodon carcinophaga	Crabeater seal	urn:lsid:marinespecies.org:taxname:231416	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	indeterminate	0	absent	2011-11-23
1-2-344008-3-3	1-2	Punta San Telmo	Lobodon carcinophaga	Crabeater seal	urn:lsid:marinespecies.org:taxname:231416	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	pup	indeterminate	0	absent	2011-11-23
1-2-231413-1-1	1-2	Punta San Telmo	Mirounga leonina	Southern elephant seal	urn:lsid:marinespecies.org:taxname:231413	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	female	0	absent	2011-11-23
1-2-231413-1-2	1-2	Punta San Telmo	Mirounga leonina	Southern elephant seal	urn:lsid:marinespecies.org:taxname:231413	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	male	1	present	2011-11-23
1-2-231413-1-3	1-2	Punta San Telmo	Mirounga leonina	Southern elephant seal	urn:lsid:marinespecies.org:taxname:231413	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	indeterminate	0	absent	2011-11-23
1-2-231413-2-1	1-2	Punta San Telmo	Mirounga leonina	Southern elephant seal	urn:lsid:marinespecies.org:taxname:231413	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	female	2	present	2011-11-23
1-2-231413-2-2	1-2	Punta San Telmo	Mirounga leonina	Southern elephant seal	urn:lsid:marinespecies.org:taxname:231413	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	male	11	present	2011-11-23
1-2-231413-2-3	1-2	Punta San Telmo	Mirounga leonina	Southern elephant seal	urn:lsid:marinespecies.org:taxname:231413	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	indeterminate	2	present	2011-11-23
1-2-231413-3-3	1-2	Punta San Telmo	Mirounga leonina	Southern elephant seal	urn:lsid:marinespecies.org:taxname:231413	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	pup	indeterminate	0	absent	2011-11-23
1-2-231413-4-3	1-2	Punta San Telmo	Mirounga leonina	Southern elephant seal	urn:lsid:marinespecies.org:taxname:231413	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	unknown	indeterminate	0	absent	2011-11-23
1-2-231417-1-1	1-2	Punta San Telmo	Hydrurga leptonyx	Leopard seal	urn:lsid:marinespecies.org:taxname:231417	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	female	0	absent	2011-11-23
1-2-231417-1-2	1-2	Punta San Telmo	Hydrurga leptonyx	Leopard seal	urn:lsid:marinespecies.org:taxname:231417	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	male	0	absent	2011-11-23
1-2-231417-1-3	1-2	Punta San Telmo	Hydrurga leptonyx	Leopard seal	urn:lsid:marinespecies.org:taxname:231417	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	indeterminate	0	absent	2011-11-23
1-2-231417-2-1	1-2	Punta San Telmo	Hydrurga leptonyx	Leopard seal	urn:lsid:marinespecies.org:taxname:231417	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	female	0	absent	2011-11-23
1-2-231417-2-2	1-2	Punta San Telmo	Hydrurga leptonyx	Leopard seal	urn:lsid:marinespecies.org:taxname:231417	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	male	0	absent	2011-11-23
1-2-231417-2-3	1-2	Punta San Telmo	Hydrurga leptonyx	Leopard seal	urn:lsid:marinespecies.org:taxname:231417	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	indeterminate	0	absent	2011-11-23
1-2-231417-3-3	1-2	Punta San Telmo	Hydrurga leptonyx	Leopard seal	urn:lsid:marinespecies.org:taxname:231417	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	pup	indeterminate	0	absent	2011-11-23
1-2-195932-1-1	1-2	Punta San Telmo	Leptonychotes weddellii	Weddell seal	urn:lsid:marinespecies.org:taxname:195932	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	female	5	present	2011-11-23
1-2-195932-1-2	1-2	Punta San Telmo	Leptonychotes weddellii	Weddell seal	urn:lsid:marinespecies.org:taxname:195932	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	male	5	present	2011-11-23
1-2-195932-1-3	1-2	Punta San Telmo	Leptonychotes weddellii	Weddell seal	urn:lsid:marinespecies.org:taxname:195932	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	indeterminate	1	present	2011-11-23
1-2-195932-2-1	1-2	Punta San Telmo	Leptonychotes weddellii	Weddell seal	urn:lsid:marinespecies.org:taxname:195932	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	female	0	absent	2011-11-23
1-2-195932-2-2	1-2	Punta San Telmo	Leptonychotes weddellii	Weddell seal	urn:lsid:marinespecies.org:taxname:195932	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	male	0	absent	2011-11-23
1-2-195932-2-3	1-2	Punta San Telmo	Leptonychotes weddellii	Weddell seal	urn:lsid:marinespecies.org:taxname:195932	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	indeterminate	0	absent	2011-11-23
1-2-195932-3-3	1-2	Punta San Telmo	Leptonychotes weddellii	Weddell seal	urn:lsid:marinespecies.org:taxname:195932	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	pup	indeterminate	0	absent	2011-11-23
2-1-344008-1-1	2-1	Core census locations	Lobodon carcinophaga	Crabeater seal	urn:lsid:marinespecies.org:taxname:231416	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	female	0	absent	2011-12-01
2-1-344008-1-2	2-1	Core census locations	Lobodon carcinophaga	Crabeater seal	urn:lsid:marinespecies.org:taxname:231416	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	male	0	absent	2011-12-01
2-1-344008-1-3	2-1	Core census locations	Lobodon carcinophaga	Crabeater seal	urn:lsid:marinespecies.org:taxname:231416	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	indeterminate	0	absent	2011-12-01
2-1-344008-2-1	2-1	Core census locations	Lobodon carcinophaga	Crabeater seal	urn:lsid:marinespecies.org:taxname:231416	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	female	0	absent	2011-12-01
2-1-344008-2-2	2-1	Core census locations	Lobodon carcinophaga	Crabeater seal	urn:lsid:marinespecies.org:taxname:231416	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	male	0	absent	2011-12-01
2-1-344008-2-3	2-1	Core census locations	Lobodon carcinophaga	Crabeater seal	urn:lsid:marinespecies.org:taxname:231416	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	indeterminate	0	absent	2011-12-01
2-1-344008-3-3	2-1	Core census locations	Lobodon carcinophaga	Crabeater seal	urn:lsid:marinespecies.org:taxname:231416	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	pup	indeterminate	0	absent	2011-12-01
2-1-231413-1-1	2-1	Core census locations	Mirounga leonina	Southern elephant seal	urn:lsid:marinespecies.org:taxname:231413	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	female	4	present	2011-12-01
2-1-231413-1-2	2-1	Core census locations	Mirounga leonina	Southern elephant seal	urn:lsid:marinespecies.org:taxname:231413	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	male	6	present	2011-12-01
2-1-231413-1-3	2-1	Core census locations	Mirounga leonina	Southern elephant seal	urn:lsid:marinespecies.org:taxname:231413	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	indeterminate	0	absent	2011-12-01
2-1-231413-2-1	2-1	Core census locations	Mirounga leonina	Southern elephant seal	urn:lsid:marinespecies.org:taxname:231413	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	female	12	present	2011-12-01
2-1-231413-2-2	2-1	Core census locations	Mirounga leonina	Southern elephant seal	urn:lsid:marinespecies.org:taxname:231413	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	male	78	present	2011-12-01
2-1-231413-2-3	2-1	Core census locations	Mirounga leonina	Southern elephant seal	urn:lsid:marinespecies.org:taxname:231413	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	indeterminate	17	present	2011-12-01
2-1-231413-3-3	2-1	Core census locations	Mirounga leonina	Southern elephant seal	urn:lsid:marinespecies.org:taxname:231413	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	pup	indeterminate	71	present	2011-12-01
2-1-231413-4-3	2-1	Core census locations	Mirounga leonina	Southern elephant seal	urn:lsid:marinespecies.org:taxname:231413	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	unknown	indeterminate	2	present	2011-12-01
2-1-231417-1-1	2-1	Core census locations	Hydrurga leptonyx	Leopard seal	urn:lsid:marinespecies.org:taxname:231417	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	female	0	absent	2011-12-01
2-1-231417-1-2	2-1	Core census locations	Hydrurga leptonyx	Leopard seal	urn:lsid:marinespecies.org:taxname:231417	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	male	0	absent	2011-12-01
2-1-231417-1-3	2-1	Core census locations	Hydrurga leptonyx	Leopard seal	urn:lsid:marinespecies.org:taxname:231417	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	indeterminate	0	absent	2011-12-01
2-1-231417-2-1	2-1	Core census locations	Hydrurga leptonyx	Leopard seal	urn:lsid:marinespecies.org:taxname:231417	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	female	0	absent	2011-12-01
2-1-231417-2-2	2-1	Core census locations	Hydrurga leptonyx	Leopard seal	urn:lsid:marinespecies.org:taxname:231417	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	male	0	absent	2011-12-01
2-1-231417-2-3	2-1	Core census locations	Hydrurga leptonyx	Leopard seal	urn:lsid:marinespecies.org:taxname:231417	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	indeterminate	0	absent	2011-12-01
2-1-231417-3-3	2-1	Core census locations	Hydrurga leptonyx	Leopard seal	urn:lsid:marinespecies.org:taxname:231417	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	pup	indeterminate	0	absent	2011-12-01
2-1-195932-1-1	2-1	Core census locations	Leptonychotes weddellii	Weddell seal	urn:lsid:marinespecies.org:taxname:195932	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	female	10	present	2011-12-01
2-1-195932-1-2	2-1	Core census locations	Leptonychotes weddellii	Weddell seal	urn:lsid:marinespecies.org:taxname:195932	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	male	8	present	2011-12-01
2-1-195932-1-3	2-1	Core census locations	Leptonychotes weddellii	Weddell seal	urn:lsid:marinespecies.org:taxname:195932	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	indeterminate	0	absent	2011-12-01
2-1-195932-2-1	2-1	Core census locations	Leptonychotes weddellii	Weddell seal	urn:lsid:marinespecies.org:taxname:195932	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	female	4	present	2011-12-01
2-1-195932-2-2	2-1	Core census locations	Leptonychotes weddellii	Weddell seal	urn:lsid:marinespecies.org:taxname:195932	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	male	3	present	2011-12-01
2-1-195932-2-3	2-1	Core census locations	Leptonychotes weddellii	Weddell seal	urn:lsid:marinespecies.org:taxname:195932	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	indeterminate	3	present	2011-12-01
2-1-195932-3-3	2-1	Core census locations	Leptonychotes weddellii	Weddell seal	urn:lsid:marinespecies.org:taxname:195932	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	pup	indeterminate	1	present	2011-12-01
2-2-344008-1-1	2-2	Punta San Telmo	Lobodon carcinophaga	Crabeater seal	urn:lsid:marinespecies.org:taxname:231416	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	female	0	absent	2011-12-01
2-2-344008-1-2	2-2	Punta San Telmo	Lobodon carcinophaga	Crabeater seal	urn:lsid:marinespecies.org:taxname:231416	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	male	0	absent	2011-12-01
2-2-344008-1-3	2-2	Punta San Telmo	Lobodon carcinophaga	Crabeater seal	urn:lsid:marinespecies.org:taxname:231416	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	indeterminate	0	absent	2011-12-01
2-2-344008-2-1	2-2	Punta San Telmo	Lobodon carcinophaga	Crabeater seal	urn:lsid:marinespecies.org:taxname:231416	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	female	0	absent	2011-12-01
2-2-344008-2-2	2-2	Punta San Telmo	Lobodon carcinophaga	Crabeater seal	urn:lsid:marinespecies.org:taxname:231416	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	male	0	absent	2011-12-01
2-2-344008-2-3	2-2	Punta San Telmo	Lobodon carcinophaga	Crabeater seal	urn:lsid:marinespecies.org:taxname:231416	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	indeterminate	0	absent	2011-12-01
2-2-344008-3-3	2-2	Punta San Telmo	Lobodon carcinophaga	Crabeater seal	urn:lsid:marinespecies.org:taxname:231416	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	pup	indeterminate	0	absent	2011-12-01
2-2-231413-1-1	2-2	Punta San Telmo	Mirounga leonina	Southern elephant seal	urn:lsid:marinespecies.org:taxname:231413	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	female	0	absent	2011-12-01
2-2-231413-1-2	2-2	Punta San Telmo	Mirounga leonina	Southern elephant seal	urn:lsid:marinespecies.org:taxname:231413	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	male	0	absent	2011-12-01
2-2-231413-1-3	2-2	Punta San Telmo	Mirounga leonina	Southern elephant seal	urn:lsid:marinespecies.org:taxname:231413	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	indeterminate	0	absent	2011-12-01
2-2-231413-2-1	2-2	Punta San Telmo	Mirounga leonina	Southern elephant seal	urn:lsid:marinespecies.org:taxname:231413	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	female	5	present	2011-12-01
2-2-231413-2-2	2-2	Punta San Telmo	Mirounga leonina	Southern elephant seal	urn:lsid:marinespecies.org:taxname:231413	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	male	24	present	2011-12-01
2-2-231413-2-3	2-2	Punta San Telmo	Mirounga leonina	Southern elephant seal	urn:lsid:marinespecies.org:taxname:231413	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	indeterminate	3	present	2011-12-01
2-2-231413-3-3	2-2	Punta San Telmo	Mirounga leonina	Southern elephant seal	urn:lsid:marinespecies.org:taxname:231413	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	pup	indeterminate	0	absent	2011-12-01
2-2-231413-4-3	2-2	Punta San Telmo	Mirounga leonina	Southern elephant seal	urn:lsid:marinespecies.org:taxname:231413	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	unknown	indeterminate	0	absent	2011-12-01
2-2-231417-1-1	2-2	Punta San Telmo	Hydrurga leptonyx	Leopard seal	urn:lsid:marinespecies.org:taxname:231417	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	female	0	absent	2011-12-01
2-2-231417-1-2	2-2	Punta San Telmo	Hydrurga leptonyx	Leopard seal	urn:lsid:marinespecies.org:taxname:231417	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	male	0	absent	2011-12-01
2-2-231417-1-3	2-2	Punta San Telmo	Hydrurga leptonyx	Leopard seal	urn:lsid:marinespecies.org:taxname:231417	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	indeterminate	0	absent	2011-12-01
2-2-231417-2-1	2-2	Punta San Telmo	Hydrurga leptonyx	Leopard seal	urn:lsid:marinespecies.org:taxname:231417	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	female	0	absent	2011-12-01
2-2-231417-2-2	2-2	Punta San Telmo	Hydrurga leptonyx	Leopard seal	urn:lsid:marinespecies.org:taxname:231417	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	male	0	absent	2011-12-01
2-2-231417-2-3	2-2	Punta San Telmo	Hydrurga leptonyx	Leopard seal	urn:lsid:marinespecies.org:taxname:231417	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	indeterminate	0	absent	2011-12-01
2-2-231417-3-3	2-2	Punta San Telmo	Hydrurga leptonyx	Leopard seal	urn:lsid:marinespecies.org:taxname:231417	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	pup	indeterminate	0	absent	2011-12-01
2-2-195932-1-1	2-2	Punta San Telmo	Leptonychotes weddellii	Weddell seal	urn:lsid:marinespecies.org:taxname:195932	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	female	2	present	2011-12-01
2-2-195932-1-2	2-2	Punta San Telmo	Leptonychotes weddellii	Weddell seal	urn:lsid:marinespecies.org:taxname:195932	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	male	3	present	2011-12-01
2-2-195932-1-3	2-2	Punta San Telmo	Leptonychotes weddellii	Weddell seal	urn:lsid:marinespecies.org:taxname:195932	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	adult	indeterminate	5	present	2011-12-01
2-2-195932-2-1	2-2	Punta San Telmo	Leptonychotes weddellii	Weddell seal	urn:lsid:marinespecies.org:taxname:195932	Species	Animalia	HumanObservation	https://doi.org/10.1016/C2012-0-06919-0	juvenile	female	0	absent	2011-12-01
